==27597== NVPROF is profiling process 27597, command: ./matrix_multiplication_cuda_float_256 -s 256
==27597== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==27597== Profiling application: ./matrix_multiplication_cuda_float_256 -s 256
==27597== Profiling result:
==27597== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Xavier (0)","matrix_multiplication_kernel(float const *, float const *, float*, int, int, int)",3,"achieved_occupancy","Achieved Occupancy",0.922001,0.934762,0.927942
"Xavier (0)","matrix_multiplication_kernel(float const *, float const *, float*, int, int, int)",3,"sm_efficiency","Multiprocessor Activity",99.000961%,99.028451%,99.016288%
"Xavier (0)","matrix_multiplication_kernel(float const *, float const *, float*, int, int, int)",3,"warp_execution_efficiency","Warp Execution Efficiency",100.000000%,100.000000%,100.000000%
"Xavier (0)","matrix_multiplication_kernel(float const *, float const *, float*, int, int, int)",3,"shared_efficiency","Shared Memory Efficiency",0.000000%,0.000000%,0.000000%
"Xavier (0)","matrix_multiplication_kernel(float const *, float const *, float*, int, int, int)",3,"gld_efficiency","Global Memory Load Efficiency",13.235299%,13.235303%,13.235301%
"Xavier (0)","matrix_multiplication_kernel(float const *, float const *, float*, int, int, int)",3,"l2_utilization","L2 Cache Utilization","Low (1)","Low (1)","Low (1)"
"Xavier (0)","matrix_multiplication_kernel(float const *, float const *, float*, int, int, int)",3,"inst_fp_16","HP Instructions(Half)",0,0,0
"Xavier (0)","matrix_multiplication_kernel(float const *, float const *, float*, int, int, int)",3,"inst_fp_32","FP Instructions(Single)",16777216,16777216,16777216
"Xavier (0)","matrix_multiplication_kernel(float const *, float const *, float*, int, int, int)",3,"inst_fp_64","FP Instructions(Double)",0,0,0
"Xavier (0)","matrix_multiplication_kernel(float const *, float const *, float*, int, int, int)",3,"inst_integer","Integer Instructions",86114304,86114304,86114304
"Xavier (0)","matrix_multiplication_kernel(float const *, float const *, float*, int, int, int)",3,"inst_inter_thread_communication","Inter-Thread Instructions",0,0,0
"Xavier (0)","matrix_multiplication_kernel(float const *, float const *, float*, int, int, int)",3,"ipc","Executed IPC",0.486561,0.486725,0.486636
